name,person,CID
Tom MacArthur,412643,-1
Bonnie Watson Coleman,412644,-1
Cresent Hardy,412645,N00035628
Lee Zeldin,412646,N00029404
Kathleen Rice,412647,N00035927
Elise Stefanik,412648,N00035523
John Katko,412649,N00035934
Steve Russell,412650,-1
Ryan Costello,412651,N00031064
Brendan Boyle,412652,N00035307
John Ratcliffe,412653,-1
Will Hurd,412654,N00031417
Brian Babin,412655,N00005736
Mia Love,412656,N00033842
Donald Beyer,412657,-1
Barbara Comstock,412658,N00036023
Dan Newhouse,412660,-1
Glenn Grothman,412661,N00036409
Alex Mooney,412662,N00033814
Evan Jenkins,412663,N00035531
Mark Walker,412670,N00035311
Daniel Donovan,412672,-1
Trent Kelly,412673,N00037003
Darin LaHood,412674,N00037031
