year;CID;name;party
2004;N00027189;Craig Hill (3);3
2004;N00027229;Michael G Fitzpatrick (R);R
2004;N00027237;Paul Donnelly (D);D
2004;N00004106;John Mangopoulos (3);3
2004;N00027437;Doug Cloud (R);R
2004;N00027454;Michael James Stanton (3);3
2004;N00026439;Antonio Salazar (R);R
2004;N00025683;Daniel James Barnett (3);3
2004;N00026171;Charlie Dent (R);R
2004;N00026189;Donald James Reaux (D);D
2004;N00026262;Kyle Johnston (D);D
2004;N00026283;Joanna Conti (D);D
2004;N00026347;Dan L Corsentino (R);R
2004;N00025019;Luis Vega (R);R
2004;N00026779;Randy Fricke (D);D
2004;N00025394;Patrick Diehl (3);3
2004;N00026917;Bill Fuller (D);D
2004;N00027045;Beth Troutman (D);D
2004;N00026085;Nathan Tabor (R);R
2004;N00026172;Carl Stephen Wolfe II (D);D
2004;N00026190;Jason E Pacifico (3);3
2004;N00026263;Jed Joseph French (R);R
2004;N00026284;John Works (D);D
2004;N00026348;Greg Walcher (R);R
2004;N00026440;Charles Richard Floyd (R);R
2004;N00024987;Charles Tate (L);L
2004;N00026780;Stephen Thomas Murray (D);D
2004;N00026824;Albert Turner (D);D
2004;N00026918;Nathan James Bailie (R);R
2004;N00027046;Anne Fischer (D);D
2004;N00009180;Mark J Yannone (L);L
2004;N00027190;Ben Mitchell (3);3
2004;N00027230;Jim Brewer (I);I
2004;N00027238;Mark Nelson (L);L
2004;N00025934;Robert Schubring (L);L
2004;N00027438;Krista Marie Grimm (I);I
2004;N00027455;Noah Nickolas Perry (D);D
2004;N00026173;Kate Hanley (D);D
2004;N00026191;George C Nelson, Jr (U);U
2004;N00026264;Luis Fortuno (3);3
2004;N00026285;Patrick John McNamara (D);D
2004;N00026349;Douglas Richard Sitter (R);R
2004;N00026441;Teresa Ann Daly (D);D
2004;N00013861;Gloria Elyse Davis (R);R
2004;N00026781;Jeffrey R Siemer (D);D
2004;N00026825;Bobby Earl Faust (R);R
2004;N00026919;Gerald Wallace (R);R
2004;N00027047;Clyde Michael Morgan (D);D
2004;N00025615;Mario Nesr Fundarski (D);D
2004;N00027191;Patricia Lamarche (3);3
2004;N00027231;John Gentile (D);D
2004;N00027239;Daniel Lipinski (D);D
2004;N00025938;Gregory Stempfle (L);L
2004;N00027439;Keith Stern (I);I
2004;N00027456;Kevin Jackson (3);3
2004;N00026174;Andy Rosenberg (D);D
2004;N00026192;Joseph W Organist (I);I
2004;N00026265;Wes Riddle (R);R
2004;N00026286;Rick Crawford (D);D
2004;N00026350;Bruce Edward Lohmiller (3);3
2004;N00026442;Jeffrey Brauner (R);R
2004;N00012841;Herb Peters (L);L
2004;N00026782;Robert M Neeld Jr (D);D
2004;N00026826;Robert Louis Marconi (D);D
2004;N00026920;Phillip Jauregui (R);R
2004;N00027048;Paul W Hodes (D);D
2004;N00025685;Don Karg (R);R
2004;N00027192;Glenn Harlan Melton (R);R
2004;N00027232;John Carl Wood (I);I
2004;N00027240;Kurt J Eckhardt (R);R
2004;N00025787;Mac Dara Francis X Lyden (3);3
2004;N00027440;Chuck Spingola (I);I
2004;N00026175;Richard Snuffer (R);R
2004;N00026193;Diane Elizab Ramsey-Rasmussen-kenne (3);3
2004;N00026266;Michael Anthony Riccardi (R);R
2004;N00026287;Jeremy Alexander (D);D
2004;N00026351;Mike Emmons (D);D
2004;N00026443;Steve Dennis (R);R
2004;N00025089;Louis Vandenberg (D);D
2004;N00026783;David Alan Eversman Sr (R);R
2004;N00026827;Richard John Penberthy (D);D
2004;N00026921;Steve F Cameron (R);R
2004;N00027049;Mark Brady (R);R
2004;N00013663;Ronald E Maynard (D);D
2004;N00027193;Teresa (Vice-Pres) Gutierrez (I);I
2004;N00027233;Donald Silberger (L);L
2004;N00027241;Daniel Zimmerman (D);D
2004;N00025789;Thomas D Abrams (L);L
2004;N00027441;Bob Corker (R);R
2004;N00026176;Robert J Ayers (D);D
2004;N00026194;Kevin Eugene Musall (U);U
2004;N00026267;Robb O Rourke (R);R
2004;N00026288;Tari Renner (D);D
2004;N00026352;David A Flood (R);R
2004;N00026444;David Vanhoy (R);R
2004;N00025036;Daniel C Ramirez (D);D
2004;N00026784;Tony Zirkle (R);R
2004;N00026828;Joseph Edward O'Brien (D);D
2004;N00026922;Vernon Woodrow Humphrey (R);R
2004;N00027050;Brian Kral (D);D
2004;N00025867;George C Lilly (3);3
2004;N00027194;Carol Ann Rittenhouse (3);3
2004;N00026030;Rich Payne (R);R
2004;N00027242;Zelma A Blakes (D);D
2004;N00025713;Janine Hansen (3);3
2004;N00027442;Michael Karlton Brown (U);U
2004;N00026177;James Louis Dezort (U);U
2004;N00026195;Hellen Mcmullen Williams (D);D
2004;N00026268;Lisa Marie Cheney (R);R
2004;N00026289;Kris Kobach (R);R
2004;N00026353;Robert Dean Derry (D);D
2004;N00026445;James Andrew Harrell Jr (D);D
2004;N00025221;Anthony W Williams (D);D
2004;N00026785;Michael Evan Slider (I);I
2004;N00026829;Christine Jennings (D);D
2004;N00026923;Randy Graf (R);R
2004;N00027051;Ann Reynolds (D);D
2004;N00025870;Norm Olsen (L);L
2004;N00027195;Larry Oftedahl (3);3
2004;N00025294;Marilyn F O'Grady (3);3
2004;N00027243;Rufus Holt Craig Jr (D);D
2004;N00025714;Brendan Trainor (L);L
2004;N00027443;John Joseph Kennedy (D);D
2004;N00026178;Barry Wynne Finkelstein (D);D
2004;N00026196;George Louis Rutten (I);I
2004;N00026269;Jay Fisette (D);D
2004;N00026290;Patricia Lightner (R);R
2004;N00026354;Christopher J Czaia (D);D
2004;N00026446;George A Moretz (R);R
2004;N00025521;Ann D Tamlyn (D);D
2004;N00026786;Bobby Jindal (R);R
2004;N00026830;David Patlak (D);D
2004;N00026924;Dwight D Leister (D);D
2004;N00027052;Lewis A Byer (R);R
2004;N00025749;H David Werder (I);I
2004;N00027196;Mike Miles (3);3
2004;N00027244;Edward A Scott Galmon (D);D
2004;N00025964;John P McDermott (3);3
2004;N00027444;Helen Meyers (3);3
2004;N00026179;Andrew J McKenna (R);R
2004;N00026197;Tony Knowles (D);D
2004;N00026270;Miriam Ramirez (3);3
2004;N00026291;Albert A Widner (D);D
2004;N00026355;Doug St Cerny (R);R
2004;N00026447;John Patrick Cusack (R);R
2004;N00025608;Floyd W Anderson Jr (R);R
2004;N00026787;Steven W Reifman (D);D
2004;N00026831;Naomi Preston (D);D
2004;N00026925;Terry Baum (3);3
2004;N00027053;Russ Mickelson (R);R
2004;N00025752;Andrew Pasayan (I);I
2004;N00027197;Mark Binder (D);D
2004;N00027245;Patsy A Allen (3);3
2004;N00025967;James E Dunn (3);3
2004;N00026180;Jack Ryan (R);R
2004;N00026198;Bradley S Freedberg (D);D
2004;N00008849;Keith Mathis (U);U
2004;N00026292;Leslie  Farr (R);R
2004;N00026356;Carole Green (R);R
2004;N00026448;Joseph Cinquemani (R);R
2004;N00025703;Joseph T Crawford (R);R
2004;N00026788;Patrice Bataglia (R);R
2004;N00026832;Maria M Parra (D);D
2004;N00026926;Jerry McNerney (D);D
2004;N00027054;Francisco E Tamez (R);R
2004;N00013376;Dae Miles (D);D
2004;N00027198;Edward M Morabito (I);I
2004;N00027246;Theresa Mitchell Dudley (3);3
2004;N00025432;Terry Begay (L);L
2004;N00026181;Charles E Berry (D);D
2004;N00026199;William Silas Bentley III (R);R
2004;N00001579;Allyson Schwartz (D);D
2004;N00026293;Jamie Metzl (D);D
2004;N00026357;Christopher Lee Chatwood (R);R
2004;N00026449;Emanuel Carl Andrews (D);D
